//當代中文/Book 1/L01-I		
陳月美	Chén Yuèměi	a woman from Vietnam
開放	kāifàng	(N) (nominalized from its verb from) to open up to the outside world; liberal, non-conservative
意外	yìwài	(N) accident
存在	cúnzài	(Vs) to exist
內在	nèizài	(N) internal quality
特質	tèzhí	(N) characteristic, quality
勝	shèng	(Vst) be superior to, to win (classical Chinese)
醜	chǒu	(Vs) ugly
顏值	yánzhí	(N) “face value” (play on words)
他人	tārén	(N) other people, others
不盡然	bújìnrán	(Vs) not necessarily so
要求	yāoqiú	(V) to request, demand
整出	zhěngchū	(V) to produce (through plastic surgery)
鼻子	bízi	(N) nose
皮膚	pífū	(N) skin
細	xì	(Vs) thin, slender
腰	yāo	(N) waist, small of the back
豐胸	fēngxiōng	(N) large breasts
高挺	gāotǐng	(Vs) to be high-bridged (said of noses)
水汪汪	shuǐwāngwāng	(Vs) to be “doe-eyed”
參賽	cānsài	(Vi) to take part in a competition
眼光	yǎnguāng	(N) judgment, how others look at you
矛盾	máodùn	(Vs) contradictory
外貌	wàimào	(N) looks, appearance, exterior
美滿	měimǎn	(Vs) happy, fulfilled (said of families, lives, marriages, etc.)
職涯	zhíyá	(N) career
以貌取人	yǐmào qǔrén	(Id) judge a book by its cover; judge by appearance (said of people)
不計一切	bújì yíqiè	(Id) do whatever it takes
英俊	yīngjùn	(Vs) handsome
獲得	huòdé	(Vpt) to obtain, attain
青睞	qīnglài	(N) special attention and favor
對象	duìxiàng	(N) significant other, boyfriend/girlfriend, object of love
智力	zhìlì	(N) intelligence
同樣	tóngyàng	(Vs) in the same way; similar
團隊	tuánduì	(N) team
金錢	jīnqián	(N) money
投資	tóuzī	(V/N) to invest; investment
行為	xíngwéi	(N) behavior
儘管	jǐnguǎn	(Conj) even though, although
日漸	rìjiàn	(Adv) with each day, with each passing day, gradually
失敗	shībài	(Vp) to fail
胸部	xiōngbù	(N) breast, chest
大小不一	dàxiǎo bùyī	(Id) in different sizes, of various sizes
變形	biànxíng	(Vp) to be deformed
失血	shīxiě	(Vp-sep) to lose blood
過	guò	(Adv) excessively
飽受	bǎoshòu	(Vpt) to suffer greatly from
後遺症	hòuyízhèng	(N) after-effects, sequela
副作用	fùzuòyòng	(N) side-effects
多麼	duōme	(Adv) how
冒險	màoxiǎn	(V-sep) to risk, take risk, adventure
如今	rújīn	(Adv) nowadays, today
捷徑	jiéjìng	(N) shortcut
進而	jìn'ér'	(Adv) furthermore
謹慎	jǐnshèn	(Vs) careful, cautious
看待	kàndài	(V) to regard
//當代中文/Book 5/L03-II		
吹	chuī	(V) to blow (used in the text to mean a trend h as been “circulating” or “stirring”)
旅遊	lǚyóu	(N) tour, trip
極具	jíjù	(Vst) to strongly possess (classical Chinese)
潛力	qiánlì	(N) potential
理由	lǐyóu	(N) reason
天性	tiānxìng	(N) nature, instinct
列入	lièrù	(V) to include, take into
考量	kǎoliáng	(N) consideration
公關	gōngguān	(N) public relations
時尚	shíshàng	(N) fashion, trend
產業	chǎnyè	(N) industry
眼皮	yǎnpí	(N) eyelid
精神奕奕	jīngshén yìyì	(Id) full of vigor/life/vitality
違反	wéifǎn	(V) to violate, go against
假	jiǎ	(Vs) false, fake, bogus
造假	zàojiǎ	(Vi) to cheat, deceive
標籤	biāoqiān	(N) label
優勢	yōushì	(N) advantage
理解	lǐjiě	(Vst) to understand
生來	shēnglái	(Ph) from birth (= 出生以來 )
差異	chāyì	(N) difference
天生	tiānshēng	(Adv) inherently
後天	hòutiān	(N) in later stages of development
長相	zhǎngxiàng	(N) appearance, looks
平平	píngpíng	(Vs) plain, average, mediocre
醫學	yīxué	(N) medical science
縮小	suōxiǎo	(V) to shrink, shorten
差距	chājù	(N) gap, distance between
無疑	wúyí	(Adv) undoubtedly
器材	qìcái	(N) equipment
藥品	yàopǐn	(N) drug, medicine
大幅	dàfú	(Adv) substantially, sharply
事先	shìxiān	(Adv) beforehand, in advance
評估	pínggū	(V) to evaluate, assess
患者	huànzhě	(N) patient
動機	dòngjī	(N) motivation
狀態	zhuàngtài	(N) state, situation
執行	zhíxíng	(V) to carry out, execute
身體髮膚受之父母	shēntǐ fǎfū, shòuzhī fùmǔ	(Id) your body, from your hair to your skin, is a gift from your parents (suggests that you have a responsibility to cherish and care for it)
剪	jiǎn	(V) to cut (with scissors)
理會	lǐhuì	(V) to pay attention to
有何不可	yǒuhé bùkě	(Id) What's wrong with that? and why not? what's the harm in that?'
//當代中文/Book 5/L04-I		
刪減	shānjiǎn	(V) to cut, cut back on (as in funds, personnel, etc.)
鬥牛	dòuniú	(N) bullfighting
街頭	jiētóu	(N) the streets (used in phrases like “take to the streets”)
舉	jǔ	(V) to raise, hold up
示威	shìwēi	(Vi) to demonstrate, rally
主張	zhǔzhāng	(V/N) to advocate a view or a standard
保存	bǎocún	(V) to preserve
廢止	fèizhǐ	(V) to abolish
引發	yǐnfā	(Vst) to set off, trigger
正反	zhèngfǎn	(N) protesters and supporters, pros and cons
兩方	liǎngfāng	(N) both parties, the two sides
激烈	jīliè	(Vs) to be intense, fierce
具有	jùyǒu	(Vst) to have, possess
祭品	jìpǐn	(N) offering to god(s), sacrificial items
全民	quánmín	(N) all the people
座	zuò	(M) measure for large objects like mountains, castles, gigantic temples on hilltops
鬥牛場	dòuniú chǎng	(N) bullfighting ring
馬德里	Mǎdélǐ	(N) Madrid
至今	zhìjīn	(Adv) to this day, heretofore
鬥牛士	dòuniú shì	(N) bullfighter
華麗	huálì	(Vs) magnificent, resplendent
服飾	fúshì	(N) clothing and accessories, apparel, costume
一面	yímiàn	(Adv) on the one hand, on the other; (do A), while (doing B)
披風	pīfēng	(N) cape
激怒	jīnù	(V) to infuriate, excite
公牛	gōngniú	(N) bull
優雅	yōuyǎ	(Vs) graceful, elegant
姿勢	zīshì	(N) posture, position, poses
結合	jiéhé	(N/V) union, blend; to combine, unite, blend
過人	guòrén	(Vs) unsurpassable
熟練	shóuliàn	(Vs) adept, skillful, proficient
崇拜	chóngbài	(Vst) to worship, adore
旺季	wàngjì	(N) peak season
遊客	yóukè	(N) visitor, tourist
前往	qiánwǎng	(V) to go to, head to
觀賞	guānshǎng	(V) to view, enjoy the view of
奔牛節	Bēnniújié	(N) The Running of the Bulls (in Pamplona)
重頭戲	zhòngtóuxì	(N) the main event
狂奔	kuángbēn	(Vi) to run madly, run like crazy
歐元	Ōuyuán	(N) Euro (currency)
必要	bìyào	(N) need
獨特	dútè	(Vs) unique
魅力	mèilì	(N) charisma
戲劇	xìjù	(N) drama, play
無數	wúshù	(Vs-attr) countless
靈感	línggǎn	(N) inspiration
諾貝爾	Nuòbèi'ěr'	(N) Nobel
得主	dézhǔ	(N) winner
作家	zuòjiā	(N) writer, author
海明威	Hǎimíngwēi	(N) Ernest Hemmingway
觀看	guānkàn	(V) to watch
小說	xiǎoshuō	(N) novel
舉世聞名	jǔshì wénmíng	(Id) world-famous
推廣	tuīguǎng	(V) to promote
遺產	yíchǎn	(N) heritage
由來已久	yóulái yǐjiǔ	(Id) age-old
//當代中文/Book 5/L04-II		
過時	guòshí	(Vs) passé, obsolete
不利	búlì	(Vs) disadvantageous to, detrimental to
刺	cì	(V) to stab, gore
觀眾	guānzhòng	(N) viewing audience
轉播	zhuǎnbò	(V/N) to rebroadcast, transmission, relay
幕	mù	(M) measure for scenes
血淋淋	xiělínlín	(Vs) bloody, gory
畫面	huàmiàn	(N) scene, graphics
頭	tóu	(M) measure for cattle (i.e., a head of cattle)
死亡	sǐwáng	(Vp) to die
折磨	zhémó	(N/V) torment; to torture
賠上	péishàng	(V) to pay as compensation
俗話	súhuà	(N) saying
道理	dàolǐ	(N) principle, truth, reason
自私	zìsī	(Vs) selfish
虐待	nüèdài	(V) to abuse, maltreat
開設	kāishè	(V) to start, open up (a course)
課程	kèchéng	(N) course
教導	jiàodǎo	(V/N) to teach; instruction
享有	xiǎngyǒu	(Vst) to enjoy (a privilege)
不人道	bùréndào	(Vs) inhumane
無辜	wúgū	(Vs) innocent
寶貴	bǎoguì	(Vs) precious
提升	tíshēng	(V) to elevate, raise (as in awareness)
社群	shèqún	(N) social group, community (as in social network, social media)
殘忍	cánrěn	(Vs) to be cruel
刊登	kāndēng	(V) (for a media) to carry (a photo, article), publish
高喊	gāohǎn	(V) to shout, scream, cry out
顯示	xiǎnshì	(V) to show, reveal
高達	gāodá	(Vst) as high as
僅	jǐn	(Adv) only
無須	wúxū	(Vaux) need not
巴塞隆納	Bāsàilóngnà	(N) Barcelona
宣布	xuānbù	(V) to announce
娛樂	yúlè	(N) recreation, amusement, entertainment
入場	rùchǎng	(Vi) to enter (a venue)
澈底	chèdǐ	(Adv) completely, thoroughly
//當代中文/Book 5/L05-I		
代理孕母	dàilǐ yùnmǔ	(Ph) surrogate mother
案例	ànlì	(N) case, instance
名	míng	(M) measure for people (formal)
同志	tóngzhì	(N) homosexual, gay
心願	xīnyuàn	(N) wish, heart's desire'
自願	zìyuàn	(Vaux) to volunteer, out of one's own wish'
委託	wěituō	(V/N) to commission, to charge with; commission
龍鳳胎	lóngfèng tāi	(Ph) twins (one boy and one girl)
遺棄	yíqì	(V) to abandon, desert
缺陷	quēxiàn	(N) defect, imperfection
任	rèn	(M) measure for terms (e.g., first term as president)
丈夫	zhàngfū	(N) husband
懷孕	huáiyùn	(Vp-sep) to be pregnant
毛遂自薦	máosuì zìjiàn	(Id) volunteer one's services, recommend oneself'
日新月異	rìxīn yuèyì	(Id) to advance with each passing day
倫理	lúnlǐ	(N) ethics
整合	zhěnghé	(V) to integrate
合法化	héfǎhuà	(Vp) to legalize
需求	xūqiú	(N) demand, need, requirements
一線希望	yíxiàn xīwàng	(Id) a ray of hope, minimal possibility
惡夢	è'mèng'	(N) nightmare
看似	kànsì	(Vst) seemingly, look like, seem
費盡	fèijìn	(V) to take great pains to, exert great effort to
千辛萬苦	qiānxīn wànkǔ	(Id) untold hardships, innumerable trials and tribulations
因素	yīnsù	(N) factor, element
皆	jiē	(Adv) all (same as 都 but formal)
承受	chéngshòu	(V) to bear, withstand, put up with
不得已	bùdéyǐ	(Vs) to have no choice but to, to be forced to, have to
代孕	dàiyùn	(Vi) to surrogate, to perform surrogacy
婚外情	hūnwàiqíng	(N) extramarital affair
破碎	pòsuì	(Vs) to break, shatter
悲劇	bēijù	(N) tragedy
雙方	shuāngfāng	(N) both parties
渴望	kěwàng	(N/Vst) longing, yearning; to long for, yearn for
供需	gōngxū	(N) supply and demand
利人利己	lìrén lìjǐ	(Id) benefit both oneself and others
雙贏	shuāngyíng	(Vi) win-win
反觀	fǎnguān	(V) looking back on, contrasting this with, when we reflect on
連續	liánxù	(Adv) continuously, in a row, successively
排名	páimíng	(Vst) to rank
倒數	dàoshǔ	(Vs-attr) counting backward, from the end, from the bottom of the list (in English, 倒數第二名 can be translated “second worst/lowest/least”)
始終	shǐzhōng	(Adv) all the while, all along, invariably
忽視	hūshì	(V) to ignore, neglect, overlook
夫妻	fūqī	(N) husband and wife, married couple
協助	xiézhù	(V) to assist
長輩	zhǎngbèi	(N) elder, one's superior'
忍受	rěnshòu	(Vst) to endure, suffer
如願	rúyuàn	(Vs-sep) as one hopes, as one wishes
自主權	zìzhǔquán	(N) right to make one's own decisions, autonomy'
//當代中文/Book 5/L05-II		
固然	gùrán	(Adv) granted, certainly, while it is definitely true that
交易	jiāoyì	(Vi) to trade, transact, carry out a transaction
屬	shǔ	(Vst) to belong to, be part of (a category)
族群	zúqún	(N) group of people (e.g., ethnic group, disadvantaged group)
等於	děngyú	(Vst) tantamount to, equal to
階級	jiējí	(N) class (in society)
間接	jiànjiē	(Adv) indirectly
錯誤	cuòwù	(N) mistake
性別	xìngbié	(N) sex, gender
抽菸	chōuyān	(Ph) to smoke a cigarette
胎兒	tāi'ér'	(N) fetus
不良	bùliáng	(Vs-attr) harmful, bad
分離	fēnlí	(Vi) to be separated from
契約	qìyuē	(N) contract, agreement
仲介	zhòngjiè	(N) intermediary, agent, middleman
角色	jiǎosè	(N) role
涉及	shèjí	(Vst) to involve, relate to
規範	guīfàn	(V/N) to regulate, standardize; standard
黑白不分	hēibái bùfēn	(Id) cannot tell truth from non-truth
是非不明	shìfēi bùmíng	(Id) cannot tell truth from non-truth
紛紛	fēnfēn	(Adv) one after another, in succession
精子	jīngzǐ	(N) sperm
搞定	gǎodìng	(V) to have it resolved
獨一無二	dúyī wú'èr'	(Id) unique, one of a kind
總之	zǒngzhī	(Adv) to sum it up, in short, in conclusion
//當代中文/Book 5/L06-I		
死刑	sǐxíng	(N)capital punishment, the death penalty
存廢	cúnfèi	(N) preservation or abolishment, to preserve or to abolish (contracted word from 保存 + 廢除)
爭議	zhēngyì	(N) controversy
僵局	jiāngjú	(N) stalemate, deadlock, impasse
各自	gèzì	(Adv) each, respectively
嚇阻	hèzǔ	(V) to deter (through intimidation)
隔離	gélí	(V) to isolate, separate, quarantine
罪犯	zuìfàn	(N) criminal
隨機	suíjī	(Adv) randomly
殺害	shāhài	(V) to murder, kill
黑心	hēixīn	(Vs-attr) darkened heart; evil mind (黑心食品 = unsafe food, i.e., made by profit-oriented people/companies with no conscience)
案件	ànjiàn	(N) (legal) case
法官	fǎguān	(N) judge
判	pàn	(V) to judge, rule, give sentencing
有期徒刑	yǒuqí túxíng	(Ph) prison term (sentencing with a fixed prison term)
無期徒刑	wúqí túxíng	(Ph) life sentence (i.e., no chance of parole)
死者	sǐzhě	(N) the dead person, the murder victim
交代	jiāodài	(N) a satisfactory answer, briefing, accountability
彌補	míbǔ	(V) to make up for, compensate for
家屬	jiāshǔ	(N) family, family members
或者	huòzhě	(Conj) or
犯人	fànrén	(N) criminal, prisoner
出獄	chūyù	(Vi) to be released from prison (監獄 , jiānyù , prison)
把	bǎ	(M) measure for “graspable” objects like rulers , chairs, salt etc
尺	chǐ	(N) ruler
現行	xiànxíng	(Vs-attr) existing, current
假釋	jiǎshì	(Vi) parole
永久	yǒngjiǔ	(Adv) forever, permanently
害怕	hàipà	(Vs) to be afraid of, to fear
報復	bàofù	(V/N) to retaliate, get revenge; vengeance
納稅	nàshuì	(V-sep) to pay taxes
懲罰	chéngfá	(N/V) punishment; to punish
犯罪	fànzuì	(V-sep) to commit a crime
罰單	fádān	(N) ticket (for a fine)
闖紅燈	chuǎng hóngdēng	(Ph) run a red light ( 闖 ,to rush, break through; 紅燈 , red light)
開	kāi	(V) to write (a ticket)
同理	tónglǐ	(Adv) by the same token, similarly
換句話說	huànjùhuà shuō	(Ph) in other words, to put it another way
維持	wéichí	(V) to keep, maintain
相較於	xiāngjiào yú	(Ph) in comparison to, compared to (classical Chinese)
人權	rénquán	(N) human rights
廢除	fèichú	(V) to abolish
被害人	bèihàirén	(N) victim
孤兒	gū'ér'	(N) orphan
不然	bùrán	(Conj) otherwise
毀	huǐ	(V) to destroy
氣憤	qìfèn	(Vs) indignant, angry
恨	hèn	(Vst) to hate
報仇	bàochóu	(V-sep) to get revenge, get vengeance
便宜	piányí	(Vst) to let somebody off easy
置身事外	zhìshēn shìwài	(Id) to remain aloof, sit on the sidelines, not be involved
放下	fàngxià	(V) let it go, let it be, “forgive”
凶手	xiōngshǒu	(N) murderer, killer
感同身受	gǎntóng shēnshòu	(Id) to empathize, feel like own experience
生前	shēngqián	(N) during one's life, before one's death'
恐懼	kǒngjù	(N) fear
心痛	xīntòng	(Ph) the pain in one's heart, heartbreak, heartache'
天平	tiānpíng	(N) balance, scales
衡量	héngliáng	(V) to weigh, evaluate
坦白	tǎnbái	(Vs) honesty, honest ( 坦白說 = to be honest/frank/candid)
撫慰	fǔwèi	(V) to console, comfort
剛剛好	gānggāng hǎo	(Ph) just right, just enough, just the right amount, time, color, etc. (meaning here: justice done)
//當代中文/Book 5/L06-II		
無濟於事	wújì yúshì	(Id) to not help the situation; does not do anybody good, of no use
致力	zhìlì	(Adv) with all might and mind
推動	tuīdòng	(V) to promote, push
漫漫長路	mànmàn chánglù	(Id) a long road, there is still a long way to go
刑罰	xíngfá	(N) punishment, penalty
顯得	xiǎnde	(Vaux) to appear, seem, come off as
費	fèi	(V) to exert (lit. pay out)
心力	xīnlì	(N) effort (physical and mental)
冤枉	yuānwǎng	(V) to be wronged, treated unjustly
槍決	qiāngjué	(N/V) execution by shooting; to execute by shooting
犯案	fàn'àn'	(Vp-sep) to be implicated in a crime
充足	chōngzú	(Vs) ample, sufficient, adequate
保證	bǎozhèng	(V/N) to guarantee; guarantee
誤判	wùpàn	(V/N) to err in judicial judgement; erroneous judgement, miscarriage of justice
失誤	shīwù	(N) mistake, error
無價	wújià	(Vs) priceless
賠償	péicháng	(N/V) compensation, reparation; to compensate, make reparations
善良	shànliáng	(Vs) good and kind
一面	yímiàn	(Ph) side (i.e., a good side)
可貴	kěguì	(Vs) valuable, priceless
同情	tóngqíng	(Vst/N) to sympathize; sympathy
換不回	huànbùhuí	(Ph) cannot get it back
和解	héjiě	(Vi) to reconcile, make up
認錯	rèncuò	(V-sep) to admit one's error'
重新	chóngxīn	(Adv) anew, afresh
大愛	dà'ài'	(N) great love, love at the highest level
感受	gǎnshòu	(N) feelings
只是	zhǐshì	(Adv) but at the same time, we must realize that
一命還一命	yímìng huán yímìng	(Id) a life for a life, an eye for an eye
好受	hǎoshòu	(Vs) to feel better
也就是說	yějiùshìshuō	(Ph) that is to say, that is, i.e.,
歐盟	Ōuméng	(N) the EU, European Union
潮流	cháoliú	(N) trend
意識到	yìshìdào	(Vpt) to be conscious of, to be aware of
唯有	wéiyǒu	(Adv) only by
身旁	shēnpáng	(N) next to, around you
打造	dǎzào	(V) to create, implement
根本	gēnběn	(Adv) completely, fundamentally, thoroughly
//當代中文/Book 5/L07-I		
傷腦筋	shāng nǎojīn	(Id) to cause a headache, a pain in the neck, to be knotty/troublesome (said of issues or problems)
受益	shòuyì	(Vp) to be benefited, to benefit (from)
財富	cáifù	(N) wealth
思考	sīkǎo	(V) to ponder
清晨	qīngchén	(N) early morning
同齡	tónglíng	(Vs) to be of the same age
遇上	yùshàng	(Vpt) to encounter, come across
白工	báigōng	(N) work done in vain, wasted work
沖走	chōngzǒu	(V) to be washed away
（一）大半	(yí) dàbàn	(Ph) a huge portion of, more than half
慘重	cǎnzhòng	(Vs) heavy (said of losses)
值錢	zhíqián	(Vs) valuable
村	cūn	(N) village
可憐	kělián	(Vs) pitiful, pitiable, poor
相依為命	xiāngyī wéimìng	(Id) to depend on each other (for survival)
一身病痛	yìshēn bìngtòng	(Id) illness and pain all over the body
懂事	dǒngshì	(Vs) sensible, to have a good head on one's shoulders'
主動	zhǔdòng	(Adv) take the initiative, take it upon oneself to
援助	yuánzhù	(V/N) to assist; assistance, aid
口袋	kǒudài	(N) pocket
吃力	chīlì	(Vs) to entail strenuous effort, be a strain
家產	jiāchǎn	(N) family property
一無所有	yìwú suǒyǒu	(Id) have nothing at all, not own a thing in the world, penniless
對於	duìyú	(Prep) as to, with regard to, to
累積	lěijī	(V) to accumulate
貧戶	pínhù	(N) households below poverty line
袖手旁觀	xiùshǒu pángguān	(Id) stand by and watch, sit there twiddling one's thumbs, not lift a finger'
調整	tiáozhěng	(V/N) to adjust; adjustment
創造	chuàngzào	(V) to create
津貼	jīntiē	(N) allowance (as in travel allowance)
等同	děngtóng	(Vst) tantamount to, equivalent to
補貼	bǔtiē	(V/N) to subsidize; subsidy
分子	fènzǐ	(N) member (of an organization)
舉例	jǔlì	(V-sep) to give an example
工資	gōngzī	(N) pay, salary
完善	wánshàn	(Vs) fully devised, perfect
出手	chūshǒu	(Vi) to spend, hand out, pay out
大方	dàfāng	(Vs) generous, magnanimous
在於	zàiyú	(Vst) to lie in (the fact that), consist in
進行	jìnxíng	(V) to carry out, conduct, undertake
共享	gòngxiǎng	(V) to share, enjoy
倘若	tǎngruò	(Conj) if, in the event that, supposing
不服	bùfú	(Vs) to refuse to accept, unconvinced
稅收	shuìshōu	(N) tax revenue
生存	shēngcún	(Vi/N) to survive, exist; survival
提心吊膽	tíxīn diàodǎn	(Id) on tenterhooks, nervous
警力	jǐnglì	(N) police force
治安	zhì'ān'	(N) public security
//當代中文/Book 5/L07-II		
哈佛大學	Hāfó Dàxué	(N) Harvard University
課堂	kètáng	(N) classroom
心臟	xīnzàng	(N) heart (organ)
肺臟	fèizàng	(N) lung
腎臟	shènzàng	(N) kidney
急迫	jípò	(Vs) urgent, pressing
器官	qìguān	(N) organ
移植	yízhí	(V) to transplant
捐贈	juānzèng	(V) to donate
突然	túrán	(Adv) suddenly
全身	quánshēn	(N) entire body
麻醉	mázuì	(V) to anesthetize (全身麻醉 general anesthesia)
抽	chōu	(V) to levy (a tax)
迫切	pòqiè	(Vs) urgent
眾人	zhòngrén	(N) people in general, the multitude
奪取	duóqǔ	(V) to seize, take by force
堂	táng	(M) measure for classes (in terms of minutes; not for courses, classrooms, or students that make up a class)
奮鬥	fèndòu	(Vi) to struggle, strive
犧牲	xīshēng	(V) to sacrifice
埋	mái	(V) to bury
繳稅單	jiǎoshuìdān	(N) tax form
無所事事	wúsuǒ shìshì	(Id) have nothing to do, to lay idle (here, unemployed)
短暫	duǎnzhàn	(Vs) transient, short, brief
拼	pīn	(Vs) to work hard
醒	xǐng	(Vp) to wake up, awaken
苦笑	kǔxiào	(Vi) to smile bitterly/wryly, to force a smile
歪理	wāilǐ	(N) preposterous argument (i.e., that's dumb! What idiot thought that up?!) '
米蟲	mǐchóng	(N) sponge, parasite (lit. a rice bug)
仍舊	réngjiù	(Adv) still
劫富濟貧	jiéfù jìpín	(Id) steal from the rich and give to the poor (spirit of Robin Hood)
強制	qiǎngzhì	(Adv) by force into, coerced into
奪走	duózǒu	(V) to take away, snatch
被迫	bèipò	(Vs) to be forced, compelled
捐款	juānkuǎn	(V-sep) to donate money
眼紅	yǎnhóng	(Vs) to covet, envious
分享	fēnxiǎng	(V) to share
成果	chéngguǒ	(N) outcome, result
不勞而獲	bùláo érhuò	(Id) to reap where one has not sown, get something for nothing
依靠	yīkào	(V) to rely on, depend on
拉	lā	(V) to pull
貧窮	pínqióng	(N) poverty
強盜	qiángdào	(N) robber
打擊	dǎjí	(V) to strike a blow to
創富	chuàngfù	(Vi) to create wealth
介入	jièrù	(V) to intervene, get involved in
//當代中文/Book 5/L08-I		
左右為難	zuǒyòu wéinán	(Id) in a dilemma, be in a bind, in a predicament, in a fix
難民	nànmín	(N) refugees
男童	nántóng	(N) boy, male child
溺死	nìsǐ	(Vp) to drown (to death), die from drowning
震驚	zhènjīng	(Vpt) to shock, stun, startle
接連	jiēlián	(Adv) in succession, in a row
事件	shìjiàn	(N) incident, episode
不滿	bùmǎn	(Vs) discontent, unhappy with
分擔	fēndān	(V) to share a burden, share responsibility
化	huà	(V) to turn into, change into, convert into, transform into
轉機	zhuǎnjī	(N) (life-saving) opportunity
海面	hǎimiàn	(N) the surface of the ocean/sea
難以數計	nányǐ shùjì	(Id) countless (lit. hard to calculate)
屍體	shītǐ	(N) corpse, body
怵目驚心	chùmù jīngxīn	(Id) shocked to witness
冒	mào	(V) to risk
聯合國	Liánhéguó	(N) United Nations, UN
止	zhǐ	(Ptc) until (classical Chinese)
庇護	bìhù	(N) asylum
人數	rénshù	(N) number of people
面臨	miànlín	(V) to face, confront
團結	tuánjié	(Vi) to unite, form solidarity with
召開	zhàokāi	(V) to convene, hold (a meeting)
高峰會	gāofēng huì	(N) Summit (meeting)
領袖	lǐngxiù	(N) leader, head of a state
消除	xiāochú	(V) to eliminate
仇外	chóuwài	(Vs) anti-foreign
前...	qián...	(N) former-, ex-
歐巴馬	Ōubāmǎ	(N) Barack Obama (former US president)
會議	huìyì	(N) conference, meeting
主義	zhǔyì	(N) “-ism” (as in terrorism, communism)
受害者	shòuhàizhě	(N) victim
向來	xiànglái	(Adv) always, all along
單一	dānyī	(Vs-attr) one, single (any one country's responsibility)'
共同	gòngtóng	(Adv) together, jointly
排外	páiwài	(Vi) anti-foreign, xenophobic
融入	róngrù	(V) to integrate, blend in
收容	shōuróng	(V) to offer refuge to
或許	huòxǔ	(Adv) perhaps, probably
勞動力	láodònglì	(N) manpower
轉化	zhuǎnhuà	(Vi) to change into, transform into
里約	Lǐyuē	(N) Rio, Brasil
奧運	Àoyùn	(N) Olympics
首度	shǒudù	(Adv) first time
代表隊	dàibiǎoduì	(N) representative team, team representing
逃離	táolí	(V) to escape from, flee from
戰火	zhànhuǒ	(N) fires of war
殘障	cánzhàng	(N) physical disability
忘掉	wàngdiào	(Vpt) to forget
英雄	yīngxióng	(N) hero
身分	shēnfèn	(N) identification
索馬利亞	Suǒmǎlìyǎ	(N) Somalia
之後	zhīhòu	(N) subsequent to that
參選	cānxuǎn	(V) to run in an election
膚色	fūsè	(N) skin color
早日	zǎorì	(Adv) soon
扶持	fúchí	(V) to support, help, aid, assist
//當代中文/Book 5/L08-II		
優先	yōuxiān	(Vs) to be given priority
無力	wúlì	(Vst) incapable of, powerless to
安置	ānzhì	(V) to make proper living arrangements for
支出	zhīchū	(N/V) expenditure; to expend
導致	dǎozhì	(V) to cause, result in, lead to
賦稅	fùshuì	(N) taxes
居民	jūmín	(N) resident
對立	duìlì	(Vs) to oppose, be in opposition to, be antagonistic
罷了	bàle	(Ptc) merely, that's it, that is all'
德國	Déguó	(N) Germany
每況愈下	měikuàng yùxià	(Id) to deteriorate, go downhill, go from bad to worse
拖垮	tuōkuǎ	(V) to pull down with, drag down
忽略	hūlüè	(V) to ignore, overlook
一一	yīyī	(Adv) one by one, separately
過濾	guòlǜ	(V) to filter
有機可乘	yǒujī kěchéng	(Id) take advantage of a situation
接二連三	jiē'èr liánsān'	(Id) one after another, in rapid succession
衝突	chōngtú	(Vs) to conflict
升高	shēnggāo	(Vp) to increase, rise
在在	zàizài	(Adv) in all aspects (classical Chinese)
設置	shèzhì	(V) to establish, set up
難民營	nànmínyíng	(N) refugee camp
關閉	guānbì	(V) to close down
邊界	biānjiè	(N) border
通往	tōngwǎng	(V) to go to, lead to
交託	jiāotuō	(V) to entrust (one's safety, life, etc.) to'
人口	rénkǒu	(N) human
販子	fànzi	(N) trafficker
助長	zhùzhǎng	(V) to foster, encourage (negatively)
支付	zhīfù	(V) to make a payment to
總理	zǒnglǐ	(N) chancellor, prime minister, premier
梅克爾	Méikè'ěr'	(N) Merkel (German chancellor)
承認	chéngrèn	(V) to admit, confess
低估	dīgū	(V) to underestimate
和平	hépíng	(Vs/N) peaceful; peace
對策	duìcè	(N) countermeasure, strategy
販運	fànyùn	(N) trafficking, smuggling, transporting
首要之務	shǒuyào zhīwù	(Id) top/first priority, the most important issue
//當代中文/Book 5/L09-I		
核電廠	hédiànchǎng	(N) nuclear power plant
熱烈	rèliè	(Vs) fervent, ardent
乃至	nǎizhì	(Adv) and even
遠處	yuǎnchù	(N) a distant location
輻射	fúshè	(N) radiation
外洩	wàixiè	(Vi) to leak
爆炸	bàozhà	(Vp) to explode
危言聳聽	wéiyán sǒngtīng	(Id) alarmist talk, inflammatory statement
致命	zhìmìng	(Vs) lethal, fatal
退燒	tuìshāo	(Vp) to reduce fever, wane
行之有年	xíngzhī yǒunián	(Id) in use for years, long-established
三哩島	Sānlǐdǎo	(N) Three Mile Island, PA, USA
烏克蘭	Wūkèlán	(N) Ukraine
車諾比	Chēnuòbǐ	(N) Chernobyl
福島	Fúdǎo	(N) Fukushima
核災	hézāi	(N) nuclear disaster
核電	hédiàn	(N) nuclear power
列為	lièwéi	(Vst) to be ranked as, listed as
等級	děngjí	(N) level, grade
位於	wèiyú	(Vst) to be located at
海嘯	hǎixiào	(N) tsunami
洪水	hóngshuǐ	(N) flood
數百萬	shùbǎiwàn	(Ph) several millions, millions
及時	jíshí	(Adv) in time, in a timely manner
顆	kē	(M) measure for round objects, e.g., bombs
炸彈	zhàdàn	(N) bomb
立即	lìjí	(Adv) immediately, at once
